a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
パティオエステートE,島根県出雲市武志町, 一畑電気鉄道松江線/武志駅 歩12分 一畑電気鉄道松江線/大津町駅 歩23分 一畑電気鉄道松江線/川跡駅 歩22分 , 築28年 2階建 ,             1階,4.3万円,-,-,-,2DK,40.04m2
ソレアードII,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩16分   , 築26年 2階建 ,             2階,4.1万円,2000円,-,-,2DK,43.09m2
コート北本町,島根県出雲市今市町北本町５, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩12分 一畑電気鉄道松江線/大津町駅 歩14分 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 , 築29年 地下2地上2階建 ,             2階,4.3万円,2000円,8.6万円,4.3万円,2DK,42m2
ソレアードI,島根県出雲市中野町, 一畑電気鉄道松江線/武志駅 歩16分   , 築26年 2階建 ,             2階,3.9万円,2000円,-,-,2DK,42.23m2
レジェンドひかわ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩28分   , 築34年 2階建 ,             1階,4.5万円,-,9万円,4.5万円,1LDK,33.22m2
あにまる・コート　A棟,島根県出雲市小山町, 一畑電車大社線/遙堪駅 歩28分 ＪＲ山陰本線/出雲市駅 バス12分 (バス停)小山団地前 歩7分  , 築20年 2階建 ,             1-2階,8.3万円,3500円,-,4.15万円,3LDK,79.35m2
ラ・セゾンI,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩18分   , 築28年 2階建 ,             1階,4.1万円,2500円,-,-,2DK,40.04m2
ツインコーポＡ,島根県出雲市姫原１, ＪＲ山陰本線/出雲市駅 歩21分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩26分 一畑電気鉄道松江線/大津町駅 歩29分 , 築25年 2階建 ,             1階,4.3万円,2000円,-,-,1DK,31m2
レオパレスミーシャII,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩10分 ＪＲ山陰本線/出雲市駅 バス4分 (バス停)大津町 歩10分  , 築17年 2階建 ,             1階,3.7万円,6500円,-,3.7万円,1K,23.61m2
ウェストハイツＣ棟,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 車5分(2.0km)   , 築22年 2階建 ,             2階,4.5万円,-,4.5万円,4.5万円,1K,24.71m2
ラ・セゾンII,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩19分   , 築28年 2階建 ,             2階,3.8万円,3100円,-,-,2DK,40.57m2
ラ・セゾンII,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩19分   , 築28年 2階建 ,             2階,3.8万円,3100円,-,-,2DK,40.57m2
メゾンドールＡ,島根県出雲市大塚町, ＪＲ山陰本線/出雲市駅 バス6分 (バス停)姫原町前 歩5分   , 築27年 2階建 ,             1階,4.6万円,2200円,-,-,2DK,44.34m2
グリーンハイツ,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩14分   , 築26年 2階建 ,             2階,4万円,-,8万円,4万円,2DK,38.79m2
ＮＮ　Ｓｐｒｉｎｇ,島根県出雲市塩冶町南町５, ＪＲ山陰本線/出雲市駅 車6分(2.2km)   , 築25年 2階建 ,             1階,4.3万円,-,4.3万円,4.3万円,2K,34.78m2
ＮＮ　Ｓｐｒｉｎｇ,島根県出雲市塩冶町南町５, ＪＲ山陰本線/出雲市駅 車6分(2.2km)   , 築25年 2階建 ,             2階,4.5万円,-,4.5万円,4.5万円,2K,34.78m2
サンハイツ　II,島根県出雲市灘分町, 一畑電気鉄道松江線/雲州平田駅 歩22分   , 築29年 2階建 ,             2階,4万円,-,8万円,4万円,2DK,39.03m2
レオパレスＫＡＲＩＮ,島根県出雲市今市町, 一畑電気鉄道松江線/出雲科学館パーク前駅 歩11分 一畑電気鉄道松江線/電鉄出雲市駅 歩13分 ＪＲ山陰本線/出雲市駅 歩15分 , 築21年 2階建 ,             1階,4万円,4500円,-,4万円,1K,23.18m2
レオパレスわかば,島根県出雲市渡橋町, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)観音寺西 歩9分 ＪＲ山陰本線/出雲市駅 歩20分  , 築19年 2階建 ,             1階,3.8万円,4500円,-,3.8万円,1K,21.81m2
グランメール,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩23分   , 築25年 2階建 ,             2階,4.1万円,2000円,6.15万円,4.1万円,1K,25.02m2
グランメール,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩23分   , 築25年 2階建 ,             2階,4.1万円,2000円,6.15万円,4.1万円,1K,24.15m2
グランメール,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩23分   , 築25年 2階建 ,             2階,4.1万円,2000円,6.15万円,4.1万円,1K,24.15m2
コーポグリーンライフ,島根県出雲市斐川町中洲, ＪＲ山陰本線/直江駅 バス11分 (バス停)斐川東中入口 歩29分   , 築36年 2階建 ,             1階,4.2万円,-,8.4万円,4.2万円,2DK,45.27m2
コーポグリーンライフ,島根県出雲市斐川町中洲, ＪＲ山陰本線/直江駅 バス11分 (バス停)斐川東中入口 歩29分   , 築36年 2階建 ,             1階,4.2万円,-,8.4万円,4.2万円,2DK,44.27m2
グランデ稲岡III,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩16分 一畑電車大社線/高浜駅 歩19分 一畑電気鉄道松江線/川跡駅 歩24分 , 築25年 2階建 ,             1階,3.9万円,3000円,-,-,1DK,29.2m2
メゾンラフィーネ,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/大津町駅 歩24分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩25分 ＪＲ山陰本線/出雲市駅 歩26分 , 築26年 2階建 ,             2階,4万円,-,4万円,4万円,1DK,24.3m2
メゾンラフィーネ,島根県出雲市大津朝倉３, 一畑電気鉄道松江線/大津町駅 歩24分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩25分 ＪＲ山陰本線/出雲市駅 歩26分 , 築26年 2階建 ,             1階,4万円,-,4万円,4万円,1DK,24.3m2
アジュール塩冶南,島根県出雲市塩冶町南町５, ＪＲ山陰本線/出雲市駅 歩28分   , 築43年 2階建 ,             1階,4.2万円,3000円,-,-,2DK,35.3m2
ビレッジハウス塩冶　2号棟,島根県出雲市塩冶有原町６, ＪＲ山陰本線/出雲市駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩30分 一畑電気鉄道松江線/大津町駅 歩46分 , 築44年 5階建 ,             5階,4万円,-,-,-,2DK,39.83m2
夢番地,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 車7分(2.6km)   , 築24年 2階建 ,             2階,4.2万円,-,4.2万円,4.2万円,1K,27.66m2
グリーンハイツ佐野,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩12分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩21分 一畑電気鉄道松江線/電鉄出雲市駅 歩28分 , 築33年 2階建 ,             2階,3.6万円,2000円,3.6万円,3.6万円,1K,23m2
グリーンハイツ佐野,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩12分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩21分 一畑電気鉄道松江線/電鉄出雲市駅 歩28分 , 築33年 2階建 ,             2階,3.9万円,3000円,3.9万円,3.9万円,2DK,39.7m2
コーポ百合沢,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩6分   , 築37年 2階建 ,             2階,4.2万円,-,8.4万円,4.2万円,2DK,40.57m2
コーポ栄,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩11分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩12分 ＪＲ山陰本線/出雲市駅 歩13分 , 築27年 2階建 ,             1階,4万円,-,8万円,4万円,1DK,26.9m2
プルミエールプラス,島根県出雲市今市町北本町２, 一畑電気鉄道松江線/電鉄出雲市駅 歩15分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩16分 ＪＲ山陰本線/出雲市駅 歩16分 , 築30年 3階建 ,             3階,3.9万円,3500円,-,-,1DK,27.45m2
サン・ラヴィアンＢ,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩17分   , 築26年 2階建 ,             1階,3.6万円,2500円,-,-,1K,20.81m2
キャッスル恒星II,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩8分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分 , 築26年 2階建 ,             1階,4万円,-,4万円,4万円,1K,24.3m2
キャッスル恒星II,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩8分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分 , 築26年 2階建 ,             1階,4万円,-,4万円,4万円,1K,24.3m2
キャッスル恒星I,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩8分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩20分 一畑電気鉄道松江線/電鉄出雲市駅 歩29分 , 築26年 2階建 ,             1階,4万円,-,4万円,4万円,1K,24.3m2
シャレー,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩10分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 歩26分 , 築34年 2階建 ,             2階,4万円,-,-,4万円,1K,25.53m2
ビレッジハウス白枝　2号棟,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩34分 ＪＲ山陰本線/西出雲駅 歩44分 一畑電車大社線/遙堪駅 歩45分 , 築52年 5階建 ,             1階,3.5万円,-,-,-,2K,33.51m2
ビレッジハウス白枝　1号棟,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 歩34分 ＪＲ山陰本線/西出雲駅 歩44分 一畑電車大社線/遙堪駅 歩45分 , 築52年 5階建 ,             4階,3.5万円,-,-,-,2K,33.51m2
ビレッジハウス雲州平田　2号棟,島根県出雲市東福町, 一畑電気鉄道松江線/雲州平田駅 歩33分 一畑電気鉄道松江線/布崎駅 歩43分 一畑電気鉄道松江線/旅伏駅 歩51分 , 築48年 5階建 ,             5階,3万円,-,-,-,2DK,38.06m2
ＪＲ山陰本線 出雲市駅 3階建 築4年,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 歩17分 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.2km) , 築4年 3階建 ,             1階,5.45万円,2200円,-,5.45万円,1SK,36.96m2
ＪＲ山陰本線 出雲市駅 3階建 築4年,島根県出雲市塩冶神前２, ＪＲ山陰本線/出雲市駅 歩17分 一畑電気鉄道松江線/電鉄出雲市駅 歩18分 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.2km) , 築4年 3階建 ,             3階,6.45万円,2200円,-,6.45万円,1LDK,59.21m2
ドルチェ　カーサ,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)出雲工業高校前 歩11分   , 築6年 3階建 ,             1階,4.55万円,2200円,-,4.55万円,1SK,31.65m2
ドルチェ　カーサ,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 バス7分 (バス停)出雲工業高校前 歩11分   , 築6年 3階建 ,             3階,5.65万円,2200円,-,5.65万円,1LDK,53.33m2
ＪＲ山陰本線 出雲市駅 3階建 築6年,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 車6分(2.4km) 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.6km) ＪＲ山陰本線/西出雲駅 車10分(3.8km) , 築6年 3階建 ,             1階,4.55万円,2200円,-,4.55万円,1SK,31.65m2
ＪＲ山陰本線 出雲市駅 3階建 築6年,島根県出雲市塩冶町南町４, ＪＲ山陰本線/出雲市駅 車6分(2.4km) 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.6km) ＪＲ山陰本線/西出雲駅 車10分(3.8km) , 築6年 3階建 ,             3階,5.65万円,2200円,-,5.65万円,1LDK,53.33m2
ＪＲ山陰本線 荘原駅 2階建 築9年,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩18分 ＪＲ山陰本線/宍道駅 車11分(4.3km) ＪＲ山陰本線/直江駅 車17分(6.7km) , 築9年 2階建 ,             2階,5.45万円,2200円,-,5.45万円,2LDK,57.21m2
ＪＲ山陰本線 荘原駅 2階建 築9年,島根県出雲市斐川町荘原, ＪＲ山陰本線/荘原駅 歩18分 ＪＲ山陰本線/宍道駅 車11分(4.3km) ＪＲ山陰本線/直江駅 車17分(6.7km) , 築9年 2階建 ,             2階,5.6万円,2200円,-,5.6万円,2LDK,57.19m2
一畑電車大社線 遙堪駅 2階建 築7年,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩19分 ＪＲ山陰本線/出雲市駅 車10分(3.9km) 一畑電気鉄道松江線/電鉄出雲市駅 車11分(4.4km) , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,61.45m2
一畑電車大社線 高浜駅 2階建 築11年,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩20分   , 築11年 2階建 ,             1階,5.5万円,2000円,5.5万円,-,2LDK,49.69m2
ＪＲ山陰本線 西出雲駅 2階建 築12年,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩19分 ＪＲ山陰本線/出雲神西駅 車9分(3.6km) ＪＲ山陰本線/出雲市駅 車11分(4.2km) , 築12年 2階建 ,             2階,5.35万円,2500円,-,-,2LDK,57.25m2
ＪＲ山陰本線 西出雲駅 2階建 築7年,島根県出雲市芦渡町, ＪＲ山陰本線/西出雲駅 歩13分 ＪＲ山陰本線/出雲神西駅 車8分(3.0km) ＪＲ山陰本線/出雲市駅 車12分(4.7km) , 築7年 2階建 ,             2階,5.45万円,3000円,-,5.45万円,2LDK,59.59m2
一畑電気鉄道松江線 電鉄出雲市駅 2階建 築9年,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩19分   , 築9年 2階建 ,             1階,5.4万円,1500円,5.4万円,-,1LDK,41.96m2
一畑電気鉄道松江線 電鉄出雲市駅 2階建 築9年,島根県出雲市渡橋町, 一畑電気鉄道松江線/電鉄出雲市駅 歩19分   , 築9年 2階建 ,             1階,5.4万円,1500円,5.4万円,-,1LDK,41.96m2
ＪＲ山陰本線 西出雲駅 2階建 築7年,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩14分 ＪＲ山陰本線/出雲市駅 車12分(4.6km) 一畑電気鉄道松江線/電鉄出雲市駅 車12分(4.7km) , 築7年 2階建 ,             2階,5.6万円,3000円,-,5.6万円,2LDK,61.45m2
ビエッセ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)白枝北 歩9分   , 築11年 2階建 ,             2階,5.4万円,2500円,-,5.4万円,2LDK,57.21m2
ビエッセ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)白枝北 歩9分   , 築11年 2階建 ,             2階,5.6万円,2500円,-,5.6万円,2LDK,57.21m2
ＪＲ山陰本線 出雲市駅 2階建 築9年,島根県出雲市塩冶神前６, ＪＲ山陰本線/出雲市駅 歩19分 一畑電気鉄道松江線/電鉄出雲市駅 車5分(1.7km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車6分(2.3km) , 築9年 2階建 ,             2階,5.25万円,2200円,-,5.25万円,1LDK,45.07m2
ＪＲ山陰本線 荘原駅 2階建 築11年,島根県出雲市斐川町中洲, ＪＲ山陰本線/荘原駅 歩31分   , 築11年 2階建 ,             2階,5.3万円,1700円,-,5.3万円,2LDK,57.71m2
ＪＲ山陰本線 西出雲駅 2階建 築7年,島根県出雲市下古志町, ＪＲ山陰本線/西出雲駅 歩14分 ＪＲ山陰本線/出雲市駅 車11分(4.4km) 一畑電気鉄道松江線/電鉄出雲市駅 車11分(4.1km) , 築7年 2階建 ,             2階,5.75万円,3000円,-,5.75万円,2LDK,59.59m2
ＪＲ山陰本線 西出雲駅 2階建 築10年,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩10分 ＪＲ山陰本線/出雲神西駅 車5分(2.0km) ＪＲ山陰本線/出雲市駅 車15分(5.9km) , 築10年 2階建 ,             1階,5.2万円,3000円,-,5.2万円,2LDK,53.95m2
一畑電車大社線 高浜駅 2階建 築12年,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩12分 ＪＲ山陰本線/出雲市駅 車8分(3.2km) 一畑電気鉄道松江線/電鉄出雲市駅 車9分(3.5km) , 築12年 2階建 ,             2階,5.5万円,2500円,-,5.5万円,2LDK,57.07m2
一畑電車大社線 高浜駅 2階建 築12年,島根県出雲市高岡町, 一畑電車大社線/高浜駅 歩14分 一畑電気鉄道松江線/武志駅 車6分(2.3km) 一畑電気鉄道松江線/電鉄出雲市駅 車8分(3.1km) , 築12年 2階建 ,             2階,5.6万円,2500円,-,5.6万円,2LDK,57.07m2
一畑電車大社線 遙堪駅 2階建 築11年,島根県出雲市松寄下町, 一畑電車大社線/遙堪駅 車7分(2.7km) ＪＲ山陰本線/出雲市駅 車9分(3.4km) 一畑電気鉄道松江線/電鉄出雲市駅 車10分(3.7km) , 築11年 2階建 ,             2階,5.4万円,2500円,-,5.4万円,2LDK,57.21m2
一畑電車大社線 遙堪駅 2階建 築11年,島根県出雲市松寄下町, 一畑電車大社線/遙堪駅 車7分(2.7km) ＪＲ山陰本線/出雲市駅 車9分(3.4km) 一畑電気鉄道松江線/電鉄出雲市駅 車10分(3.7km) , 築11年 2階建 ,             2階,5.6万円,2500円,-,5.6万円,2LDK,57.21m2
一畑電車大社線 遙堪駅 2階建 築11年,島根県出雲市矢野町, 一畑電車大社線/遙堪駅 歩18分 一畑電車大社線/高浜駅 車6分(2.3km) 一畑電車大社線/浜山公園北口駅 車8分(3.0km) , 築11年 2階建 ,             2階,4.9万円,2500円,-,4.9万円,2LDK,57.21m2
ＪＲ山陰本線 直江駅 2階建 築12年,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分 一畑電気鉄道松江線/大津町駅 車8分(2.9km) 一畑電気鉄道松江線/武志駅 車10分(3.9km) , 築12年 2階建 ,             1階,4.45万円,1700円,-,4.45万円,2DK,45.39m2
ＪＲ山陰本線 直江駅 2階建 築12年,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩15分 一畑電気鉄道松江線/大津町駅 車8分(2.9km) 一畑電気鉄道松江線/武志駅 車10分(3.9km) , 築12年 2階建 ,             1階,4.6万円,1700円,-,4.6万円,2DK,45.39m2
